Latitude,Longitude,Time,Id
32.735600000000005,-97.10807000000001,1,route 1,"ARLINGTON,TX"
32.73565,-97.11166000000001,2,route 1,Along route
32.735690000000005,-97.11413,3,route 1,Along route
32.73572,-97.11449,4,route 1,Along route
32.73637,-97.11448000000001,5,route 1,Along route
32.736540000000005,-97.11447000000001,6,route 1,Along route
32.736900000000006,-97.11445,7,route 1,Along route
32.737550000000006,-97.11432,8,route 1,Along route
32.73809,-97.11436,9,route 1,Along route
32.738620000000004,-97.11436,10,route 1,Along route
32.73912,-97.11434000000001,11,route 1,Along route
32.739650000000005,-97.11436,12,route 1,Along route
32.739990000000006,-97.11443000000001,13,route 1,Along route
32.74047,-97.11452000000001,14,route 1,Along route
32.74219,-97.1145,15,route 1,Along route
32.74242,-97.11446000000001,16,route 1,Along route
32.7426,-97.1144,17,route 1,Along route
32.743030000000005,-97.11419000000001,18,route 1,Along route
32.743320000000004,-97.11406000000001,19,route 1,Along route
32.74362,-97.11398000000001,20,route 1,Along route
32.74392,-97.11392000000001,21,route 1,Along route
32.74467,-97.11391,22,route 1,Along route
32.74497,-97.11391,23,route 1,Along route
32.74573,-97.11398000000001,24,route 1,Along route
32.74669,-97.11398000000001,25,route 1,Along route
32.747370000000004,-97.114,26,route 1,Along route
32.74761,-97.114,27,route 1,Along route
32.7483,-97.11399,28,route 1,Along route
32.74853,-97.11394000000001,29,route 1,Along route
32.749430000000004,-97.11371000000001,30,route 1,Along route
32.74976,-97.11365,31,route 1,Along route
32.7501,-97.11359,32,route 1,Along route
32.75061,-97.11356,33,route 1,Along route
32.75113,-97.11358000000001,34,route 1,Along route
32.751780000000004,-97.11368,35,route 1,Along route
32.75343,-97.11366000000001,36,route 1,Along route
32.753750000000004,-97.11372000000001,37,route 1,Along route
32.754200000000004,-97.11381,38,route 1,Along route
32.754650000000005,-97.114,39,route 1,Along route
32.75565,-97.11429000000001,40,route 1,Along route
32.755900000000004,-97.11434000000001,41,route 1,Along route
32.7563,-97.11437000000001,42,route 1,Along route
32.757450000000006,-97.11436,43,route 1,Along route
32.758590000000005,-97.11435,44,route 1,Along route
32.75892,-97.11438000000001,45,route 1,Along route
32.75914,-97.11434000000001,46,route 1,Along route
32.7592,-97.11432,47,route 1,Along route
32.759260000000005,-97.11426,48,route 1,Along route
32.759350000000005,-97.11409,49,route 1,Along route
32.75929,-97.11092000000001,50,route 1,Along route
32.75932,-97.10935,51,route 1,Along route
32.75931,-97.10636000000001,52,route 1,Along route
32.75932,-97.10566000000001,53,route 1,Along route
32.75932,-97.10411,54,route 1,Along route
32.759350000000005,-97.10384,55,route 1,Along route
32.759370000000004,-97.10227,56,route 1,Along route
32.75938,-97.10217,57,route 1,Along route
32.75938,-97.10185000000001,58,route 1,Along route
32.7594,-97.10127000000001,59,route 1,Along route
32.759460000000004,-97.09948000000001,60,route 1,Along route
32.75948,-97.09931,61,route 1,Along route
32.759530000000005,-97.0991,62,route 1,Along route
32.759530000000005,-97.09881000000001,63,route 1,Along route
32.759530000000005,-97.09762,64,route 1,Along route
32.75952,-97.09703,65,route 1,Along route
32.75952,-97.09467000000001,66,route 1,Along route
32.759530000000005,-97.08758,67,route 1,Along route
32.75954,-97.08423,68,route 1,Along route
32.7595,-97.07587000000001,69,route 1,Along route
32.759510000000006,-97.07436000000001,70,route 1,Along route
32.759530000000005,-97.07174,71,route 1,Along route
32.75952,-97.06852,72,route 1,Along route
32.759510000000006,-97.06373,73,route 1,Along route
32.759510000000006,-97.0635,74,route 1,Along route
32.75949,-97.06066000000001,75,route 1,Along route
32.75949,-97.05591000000001,76,route 1,Along route
32.7595,-97.05438000000001,77,route 1,Along route
32.75949,-97.05236000000001,78,route 1,Along route
32.75949,-97.04682000000001,79,route 1,Along route
32.75947,-97.04568,80,route 1,Along route
32.75945,-97.03826000000001,81,route 1,Along route
32.759440000000005,-97.03706000000001,82,route 1,Along route
32.759370000000004,-97.03448,83,route 1,Along route
32.75939,-97.03242,84,route 1,Along route
32.759370000000004,-97.03004000000001,85,route 1,Along route
32.759370000000004,-97.02956,86,route 1,Along route
32.759370000000004,-97.02851000000001,87,route 1,Along route
32.75936,-97.0229,88,route 1,Along route
32.759330000000006,-97.01283000000001,89,route 1,Along route
32.75932,-97.00889000000001,90,route 1,Along route
32.7593,-97.00678,91,route 1,Along route
32.75916,-97.00413,92,route 1,Along route
32.75891,-97.00094000000001,93,route 1,Along route
32.75846,-96.99489000000001,94,route 1,Along route
32.758410000000005,-96.99355000000001,95,route 1,Along route
32.758390000000006,-96.99100000000001,96,route 1,Along route
32.75847,-96.98934000000001,97,route 1,Along route
32.75864,-96.98670000000001,98,route 1,Along route
32.75878,-96.98474,99,route 1,Along route
32.75907,-96.98025000000001,100,route 1,Along route
32.75931,-96.97636000000001,101,route 1,Along route
32.75939,-96.97504,102,route 1,Along route
32.75949,-96.97397000000001,103,route 1,Along route
32.7597,-96.97254000000001,104,route 1,Along route
32.75986,-96.97174000000001,105,route 1,Along route
32.760020000000004,-96.97107000000001,106,route 1,Along route
32.76026,-96.97019,107,route 1,Along route
32.76048,-96.96939,108,route 1,Along route
32.76084,-96.96827,109,route 1,Along route
32.7612,-96.96706,110,route 1,Along route
32.76151,-96.96584000000001,111,route 1,Along route
32.76171,-96.96477,112,route 1,Along route
32.76178,-96.96408000000001,113,route 1,Along route
32.76189,-96.96281,114,route 1,Along route
32.76193,-96.96201,115,route 1,Along route
32.76194,-96.96069000000001,116,route 1,Along route
32.761950000000006,-96.96007,117,route 1,Along route
32.761950000000006,-96.95981,118,route 1,Along route
32.761950000000006,-96.956,119,route 1,Along route
32.76192,-96.95158,120,route 1,Along route
32.76196,-96.95032,121,route 1,Along route
32.76212,-96.94791000000001,122,route 1,Along route
32.762330000000006,-96.94622000000001,123,route 1,Along route
32.762660000000004,-96.94421000000001,124,route 1,Along route
32.76303,-96.94213,125,route 1,Along route
32.76321,-96.94115000000001,126,route 1,Along route
